city,time,name,rate,type,location,price
25057,01-02,Meriton Suites Carter Street,Excellent ,House / Apartment,"Sydney, 13.5 km to City centre",AU$207
25057,01-02,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",AU$332
25057,01-02,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",AU$290
25057,01-02,Adina Norwest Sydney,Excellent ,Serviced apartment,"Sydney, 26.5 km to Darling Harbour",AU$144
25057,01-02,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",AU$161
25057,01-02,Rydges North Sydney, ,Hotel,"Sydney, 2.6 km to Sydney Opera House",AU$169
25057,01-02,North Sydney Harbourview,Very good ,Hotel,"Sydney, 0.3 km away from the beach",AU$162
25057,01-02,Hotel Quay West Suites Sydney,Excellent ,,"Sydney, 0.9 km to Sydney Opera House",AU$253
25057,01-02,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",AU$197
25057,01-02,Pullman at Sydney Olympic Park Hotel,Excellent ,Hotel,"Sydney, 12.6 km to Darling Harbour",AU$248
25057,01-02,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",AU$279
25057,01-02,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",AU$349
25057,01-02,Hotel Urban St Leonards,Excellent ,Hotel,"Sydney, 4.6 km to Sydney Opera House",AU$134
25057,01-02,Adina Apartment Hotel Sydney Town Hall,Very good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",AU$224
25057,01-02,Hotel The Macleay,Very good ,Hotel,"Sydney, 1.8 km to Sydney Opera House",AU$220
25057,01-02,Silkari Suites Chatswood,Excellent ,Hotel,"Sydney, 8.6 km to City centre",AU$167
25057,01-02,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",AU$201
25057,01-02,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",AU$257
25057,01-02,Four Seasons Hotel Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Opera House",AU$445
25057,01-02,Grand Mercure The Hills Lodge,Excellent ,Hotel,"Sydney, 26.4 km to Darling Harbour",AU$159
25057,01-02,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",AU$239
25057,01-02,Hotel Mantra Chatswood,Good ,Hotel,"Sydney, 7.5 km to Sydney Opera House",AU$155
25057,01-02,Nightcap at Blue Cattle Dog Hotel,Good ,Hotel,"Sydney, 40.9 km to Darling Harbour",AU$119
25057,01-02,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",AU$261
25057,01-02,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",AU$227
